"GRANT NUMBER","BUDGET ENTITY","HEAD OF ACCOUNT","HEAD DESCRIPTION","HEAD DESCRIPTION ASSAMESE","Major Head","Sub-Major Head","Minor Head","Sub-Minor Head","Detailed Head","Object Head","Voucher Head","Scheme","Area","Voted_Charged","Actuals_2016_17","Budget_Estimates_2017_18","Revised_Estimates_2017_18","Budget_Estimates_2018_19"
"3 - Administration of justice","Judicial Department (D)","2014-00-114-0308-000-03-00-EE-GA-V","Administration of Justice$NULL$Legal Advisers and Counsels$Counsel for Supreme Court$NULL$Travel Expenses$NULL","ন্যায় প্ৰশাসন$NULL$আাইন উপদেষ্টা আাৰু পৰামৰ্শ দাতা$$NULL$ ভ্ৰমণ খৰচ$NULL","Administration of Justice","NULL","Legal Advisers and Counsels","Counsel for Supreme Court","NULL","Travel Expenses","NULL","Establishmet Expenditure","General Area","Voted",0,0.5,0.5,0
"3 - Administration of justice","Judicial Department (D)","2014-00-114-0287-000-01-06-EE-GA-V","Administration of Justice$NULL$Legal Advisers and Counsels$Government Advocate.$NULL$Salaries$Medical Allowance","ন্যায় প্ৰশাসন$NULL$আাইন উপদেষ্টা আাৰু পৰামৰ্শ দাতা$NULL$NULL$দৰমহা$চিকিৎসা ভাত্তা","Administration of Justice","NULL","Legal Advisers and Counsels","Government Advocate.","NULL","Salaries","Medical Allowance","Establishmet Expenditure","General Area","Voted",0,5,5,5.5
"3 - Administration of justice","Judicial Department (D)","2014-00-114-0287-000-01-07-EE-GA-V","Administration of Justice$NULL$Legal Advisers and Counsels$Government Advocate.$NULL$Salaries$House Rent Allowance","ন্যায় প্ৰশাসন$NULL$আাইন উপদেষ্টা আাৰু পৰামৰ্শ দাতা$NULL$NULL$দৰমহা$ঘৰ ভাড়া ভাত্তা","Administration of Justice","NULL","Legal Advisers and Counsels","Government Advocate.","NULL","Salaries","House Rent Allowance","Establishmet Expenditure","General Area","Voted",0,20,20,20
"3 - Administration of justice","Judicial Department (D)","2014-00-114-0168-000-01-07-EE-GA-V","Administration of Justice$NULL$Legal Advisers and Counsels$Government Pleader$NULL$Salaries$House Rent Allowance","ন্যায় প্ৰশাসন$NULL$আাইন উপদেষ্টা আাৰু পৰামৰ্শ দাতা$NULL$NULL$দৰমহা$ঘৰ ভাড়া ভাত্তা","Administration of Justice","NULL","Legal Advisers and Counsels","Government Pleader","NULL","Salaries","House Rent Allowance","Establishmet Expenditure","General Area","Voted",0,16,16,17
"3 - Administration of justice","Judicial Department (D)","2014-00-114-0168-000-01-08-EE-GA-V","Administration of Justice$NULL$Legal Advisers and Counsels$Government Pleader$NULL$Salaries$Medical Reimbursement","ন্যায় প্ৰশাসন$NULL$আাইন উপদেষ্টা আাৰু পৰামৰ্শ দাতা$NULL$NULL$দৰমহা$চিকিৎসাজনিত ব্যয় পৰিশোধ","Administration of Justice","NULL","Legal Advisers and Counsels","Government Pleader","NULL","Salaries","Medical Reimbursement","Establishmet Expenditure","General Area","Voted",0,2.5,2.5,2.75
"3 - Administration of justice","Judicial Department (D)","2014-00-114-0168-000-01-06-EE-GA-V","Administration of Justice$NULL$Legal Advisers and Counsels$Government Pleader$NULL$Salaries$Medical Allowance","ন্যায় প্ৰশাসন$NULL$আাইন উপদেষ্টা আাৰু পৰামৰ্শ দাতা$NULL$NULL$দৰমহা$চিকিৎসা ভাত্তা","Administration of Justice","NULL","Legal Advisers and Counsels","Government Pleader","NULL","Salaries","Medical Allowance","Establishmet Expenditure","General Area","Voted",0,3.7,3.7,4
"3 - Administration of justice","Judicial Department (D)","2014-00-114-0219-000-01-06-EE-GA-V","Administration of Justice$NULL$Legal Advisers and Counsels$Public  Prosecutor.$NULL$Salaries$Medical Allowance","ন্যায় প্ৰশাসন$NULL$আাইন উপদেষ্টা আাৰু পৰামৰ্শ দাতা$NULL$NULL$দৰমহা$চিকিৎসা ভাত্তা","Administration of Justice","NULL","Legal Advisers and Counsels","Public  Prosecutor.","NULL","Salaries","Medical Allowance","Establishmet Expenditure","General Area","Voted",0,5,5,5
"3 - Administration of justice","Judicial Department (D)","2014-00-114-0219-000-01-07-EE-GA-V","Administration of Justice$NULL$Legal Advisers and Counsels$Public  Prosecutor.$NULL$Salaries$House Rent Allowance","ন্যায় প্ৰশাসন$NULL$আাইন উপদেষ্টা আাৰু পৰামৰ্শ দাতা$NULL$NULL$দৰমহা$ঘৰ ভাড়া ভাত্তা","Administration of Justice","NULL","Legal Advisers and Counsels","Public  Prosecutor.","NULL","Salaries","House Rent Allowance","Establishmet Expenditure","General Area","Voted",0,20,20,22
"3 - Administration of justice","Judicial Department (D)","2014-00-114-0219-000-01-08-EE-GA-V","Administration of Justice$NULL$Legal Advisers and Counsels$Public  Prosecutor.$NULL$Salaries$Medical Reimbursement","ন্যায় প্ৰশাসন$NULL$আাইন উপদেষ্টা আাৰু পৰামৰ্শ দাতা$NULL$NULL$দৰমহা$চিকিৎসাজনিত ব্যয় পৰিশোধ","Administration of Justice","NULL","Legal Advisers and Counsels","Public  Prosecutor.","NULL","Salaries","Medical Reimbursement","Establishmet Expenditure","General Area","Voted",0,4,4,4
"3 - Administration of justice","Judicial Department (D)","2014-00-114-0306-000-01-01-EE-GA-V","Administration of Justice$NULL$Legal Advisers and Counsels$Advocate General$NULL$Salaries$Pay","ন্যায় প্ৰশাসন$NULL$আাইন উপদেষ্টা আাৰু পৰামৰ্শ দাতা$NULL$NULL$দৰমহা$দৰমহা","Administration of Justice","NULL","Legal Advisers and Counsels","Advocate General","NULL","Salaries","Pay","Establishmet Expenditure","General Area","Voted",82.45,40,40,74
"3 - Administration of justice","Judicial Department (D)","2014-00-114-0307-000-01-99-EE-GA-V","Administration of Justice$NULL$Legal Advisers and Counsels$Legal Remembrances$NULL$Salaries$Others","ন্যায় প্ৰশাসন$NULL$আাইন উপদেষ্টা আাৰু পৰামৰ্শ দাতা$NULL$NULL$দৰমহা$অন্যান্য","Administration of Justice","NULL","Legal Advisers and Counsels","Legal Remembrances","NULL","Salaries","Others","Establishmet Expenditure","General Area","Voted",0,0.15,0.15,0.15
"3 - Administration of justice","Judicial Department (D)","2014-00-114-0307-000-01-12-EE-GA-V","Administration of Justice$NULL$Legal Advisers and Counsels$Legal Remembrances$NULL$Salaries$Arrear Salary/DA","ন্যায় প্ৰশাসন$NULL$আাইন উপদেষ্টা আাৰু পৰামৰ্শ দাতা$NULL$NULL$দৰমহা$বকেয়া দৰমহা /মৰগীয়া বানচ","Administration of Justice","NULL","Legal Advisers and Counsels","Legal Remembrances","NULL","Salaries","Arrear Salary/DA","Establishmet Expenditure","General Area","Voted",0,0,0,0.4
"3 - Administration of justice","Judicial Department (D)","2014-00-114-0308-000-05-02-EE-GA-V","Administration of Justice$NULL$Legal Advisers and Counsels$Counsel for Supreme Court$NULL$Payment for Professional and Special Services$Legal Service","ন্যায় প্ৰশাসন$NULL$আাইন উপদেষ্টা আাৰু পৰামৰ্শ দাতা$$NULL$বৃত্তিগত আৰু বিশেষ সেৱাসমূহৰ বাবে পৰিশোধ$আইন সেৱা","Administration of Justice","NULL","Legal Advisers and Counsels","Counsel for Supreme Court","NULL","Payment for Professional and Special Services","Legal Service","Establishmet Expenditure","General Area","Voted",169.65,400,400,440
"3 - Administration of justice","Judicial Department (D)","2014-00-114-0287-000-01-16-EE-GA-V","Administration of Justice$NULL$Legal Advisers and Counsels$Government Advocate.$NULL$Salaries$Fixed Pay","ন্যায় প্ৰশাসন$NULL$আাইন উপদেষ্টা আাৰু পৰামৰ্শ দাতা$NULL$NULL$দৰমহা$নিৰ্দ্ধাৰিত দৰমহা","Administration of Justice","NULL","Legal Advisers and Counsels","Government Advocate.","NULL","Salaries","Fixed Pay","Establishmet Expenditure","General Area","Voted",0,55,55,60
"3 - Administration of justice","Judicial Department (D)","2014-00-114-0168-000-01-12-EE-GA-V","Administration of Justice$NULL$Legal Advisers and Counsels$Government Pleader$NULL$Salaries$Arrear Salary/DA","ন্যায় প্ৰশাসন$NULL$আাইন উপদেষ্টা আাৰু পৰামৰ্শ দাতা$NULL$NULL$দৰমহা$বকেয়া দৰমহা /মৰগীয়া বানচ","Administration of Justice","NULL","Legal Advisers and Counsels","Government Pleader","NULL","Salaries","Arrear Salary/DA","Establishmet Expenditure","General Area","Voted",0,0.1,0.1,0.1
"3 - Administration of justice","Judicial Department (D)","2014-00-114-0168-000-01-16-EE-GA-V","Administration of Justice$NULL$Legal Advisers and Counsels$Government Pleader$NULL$Salaries$Fixed Pay","ন্যায় প্ৰশাসন$NULL$আাইন উপদেষ্টা আাৰু পৰামৰ্শ দাতা$NULL$NULL$দৰমহা$নিৰ্দ্ধাৰিত দৰমহা","Administration of Justice","NULL","Legal Advisers and Counsels","Government Pleader","NULL","Salaries","Fixed Pay","Establishmet Expenditure","General Area","Voted",0,80,80,85
"3 - Administration of justice","Judicial Department (D)","2014-00-114-0219-000-01-12-EE-GA-V","Administration of Justice$NULL$Legal Advisers and Counsels$Public  Prosecutor.$NULL$Salaries$Arrear Salary/DA","ন্যায় প্ৰশাসন$NULL$আাইন উপদেষ্টা আাৰু পৰামৰ্শ দাতা$NULL$NULL$দৰমহা$বকেয়া দৰমহা /মৰগীয়া বানচ","Administration of Justice","NULL","Legal Advisers and Counsels","Public  Prosecutor.","NULL","Salaries","Arrear Salary/DA","Establishmet Expenditure","General Area","Voted",0,0.1,0.1,0.1
"3 - Administration of justice","Judicial Department (D)","2014-00-114-0219-000-01-16-EE-GA-V","Administration of Justice$NULL$Legal Advisers and Counsels$Public  Prosecutor.$NULL$Salaries$Fixed Pay","ন্যায় প্ৰশাসন$NULL$আাইন উপদেষ্টা আাৰু পৰামৰ্শ দাতা$NULL$NULL$দৰমহা$নিৰ্দ্ধাৰিত দৰমহা","Administration of Justice","NULL","Legal Advisers and Counsels","Public  Prosecutor.","NULL","Salaries","Fixed Pay","Establishmet Expenditure","General Area","Voted",0,320,320,350
"3 - Administration of justice","Judicial Department (D)","2014-00-114-2921-000-31-99-EE-GA-V","Administration of Justice$NULL$Legal Advisers and Counsels$The National Law School And Judicial Academy, Assam$NULL$Grants-in-aid General (Salary)$Others","ন্যায় প্ৰশাসন$NULL$আাইন উপদেষ্টা আাৰু পৰামৰ্শ দাতা$$NULL$সাহায্য মঞ্জুৰী সাধাৰণ (দৰমহা)$অন্যান্য","Administration of Justice","NULL","Legal Advisers and Counsels","The National Law School And Judicial Academy, Assam","NULL","Grants-in-aid General (Salary)","Others","Establishmet Expenditure","General Area","Voted",0,350,350,500
"3 - Administration of justice","Judicial Department (D)","2014-00-800-0313-000-01-01-EE-GA-V","Administration of Justice$NULL$Other Expenditure$Law Research Institute Eastern Region$NULL$Salaries$Pay","ন্যায় প্ৰশাসন$NULL$অন্যান্য ব্যয়$NULL$NULL$দৰমহা$দৰমহা","Administration of Justice","NULL","Other Expenditure","Law Research Institute Eastern Region","NULL","Salaries","Pay","Establishmet Expenditure","General Area","Voted",30.23,24,24,50.85
"3 - Administration of justice","Judicial Department (D)","2014-00-800-0313-000-01-05-EE-GA-V","Administration of Justice$NULL$Other Expenditure$Law Research Institute Eastern Region$NULL$Salaries$Leave Travel Concession","ন্যায় প্ৰশাসন$NULL$অন্যান্য ব্যয়$NULL$NULL$দৰমহা$ছুটী কালীন ভ্ৰমণ ৰেহাই","Administration of Justice","NULL","Other Expenditure","Law Research Institute Eastern Region","NULL","Salaries","Leave Travel Concession","Establishmet Expenditure","General Area","Voted",0,0.75,0.75,0.8
"3 - Administration of justice","Judicial Department (D)","2014-00-800-0313-000-01-06-EE-GA-V","Administration of Justice$NULL$Other Expenditure$Law Research Institute Eastern Region$NULL$Salaries$Medical Allowance","ন্যায় প্ৰশাসন$NULL$অন্যান্য ব্যয়$NULL$NULL$দৰমহা$চিকিৎসা ভাত্তা","Administration of Justice","NULL","Other Expenditure","Law Research Institute Eastern Region","NULL","Salaries","Medical Allowance","Establishmet Expenditure","General Area","Voted",0,0.9,0.9,0.9
"3 - Administration of justice","Judicial Department (D)","2014-00-800-0313-000-01-07-EE-GA-V","Administration of Justice$NULL$Other Expenditure$Law Research Institute Eastern Region$NULL$Salaries$House Rent Allowance","ন্যায় প্ৰশাসন$NULL$অন্যান্য ব্যয়$NULL$NULL$দৰমহা$ঘৰ ভাড়া ভাত্তা","Administration of Justice","NULL","Other Expenditure","Law Research Institute Eastern Region","NULL","Salaries","House Rent Allowance","Establishmet Expenditure","General Area","Voted",0,3.5,3.5,3.55
"3 - Administration of justice","Judicial Department (D)","2014-00-800-0313-000-01-08-EE-GA-V","Administration of Justice$NULL$Other Expenditure$Law Research Institute Eastern Region$NULL$Salaries$Medical Reimbursement","ন্যায় প্ৰশাসন$NULL$অন্যান্য ব্যয়$NULL$NULL$দৰমহা$চিকিৎসাজনিত ব্যয় পৰিশোধ","Administration of Justice","NULL","Other Expenditure","Law Research Institute Eastern Region","NULL","Salaries","Medical Reimbursement","Establishmet Expenditure","General Area","Voted",0,0.6,0.6,0.66
"3 - Administration of justice","Judicial Department (D)","2230-01-101-0264-000-01-01-EE-GA-V","Labour & Employment$Labour$Industrial Relations$Industrial Tribunal, Guwahati$NULL$Salaries$Pay","শ্ৰম আৰু নিয়োগ$ শ্ৰম$ঔদ্যোগিক সম্পৰ্ক$NULL$NULL$দৰমহা$দৰমহা","Labour & Employment","Labour","Industrial Relations","Industrial Tribunal, Guwahati","NULL","Salaries","Pay","Establishmet Expenditure","General Area","Voted",47.55,35,35,70
"3 - Administration of justice","Judicial Department (D)","2230-01-101-0264-000-01-06-EE-GA-V","Labour & Employment$Labour$Industrial Relations$Industrial Tribunal, Guwahati$NULL$Salaries$Medical Allowance","শ্ৰম আৰু নিয়োগ$ শ্ৰম$ঔদ্যোগিক সম্পৰ্ক$NULL$NULL$দৰমহা$চিকিৎসা ভাত্তা","Labour & Employment","Labour","Industrial Relations","Industrial Tribunal, Guwahati","NULL","Salaries","Medical Allowance","Establishmet Expenditure","General Area","Voted",0,1.6,1.6,1.6
"3 - Administration of justice","Judicial Department (D)","2230-01-101-0264-000-01-07-EE-GA-V","Labour & Employment$Labour$Industrial Relations$Industrial Tribunal, Guwahati$NULL$Salaries$House Rent Allowance","শ্ৰম আৰু নিয়োগ$ শ্ৰম$ঔদ্যোগিক সম্পৰ্ক$NULL$NULL$দৰমহা$ঘৰ ভাড়া ভাত্তা","Labour & Employment","Labour","Industrial Relations","Industrial Tribunal, Guwahati","NULL","Salaries","House Rent Allowance","Establishmet Expenditure","General Area","Voted",0,7.5,7.5,8.5
"3 - Administration of justice","Judicial Department (D)","2230-01-101-0264-000-01-08-EE-GA-V","Labour & Employment$Labour$Industrial Relations$Industrial Tribunal, Guwahati$NULL$Salaries$Medical Reimbursement","শ্ৰম আৰু নিয়োগ$ শ্ৰম$ঔদ্যোগিক সম্পৰ্ক$NULL$NULL$দৰমহা$চিকিৎসাজনিত ব্যয় পৰিশোধ","Labour & Employment","Labour","Industrial Relations","Industrial Tribunal, Guwahati","NULL","Salaries","Medical Reimbursement","Establishmet Expenditure","General Area","Voted",0,1,1,1
"3 - Administration of justice","Judicial Department (D)","2230-01-101-0265-000-01-01-EE-GA-V","Labour & Employment$Labour$Industrial Relations$Industrial Tribunal, Dibrugarh$NULL$Salaries$Pay","শ্ৰম আৰু নিয়োগ$ শ্ৰম$ঔদ্যোগিক সম্পৰ্ক$NULL$NULL$দৰমহা$দৰমহা","Labour & Employment","Labour","Industrial Relations","Industrial Tribunal, Dibrugarh","NULL","Salaries","Pay","Establishmet Expenditure","General Area","Voted",57.79,25,25,55.2
"3 - Administration of justice","Judicial Department (D)","2230-01-101-0265-000-01-99-EE-GA-V","Labour & Employment$Labour$Industrial Relations$Industrial Tribunal, Dibrugarh$NULL$Salaries$Others","শ্ৰম আৰু নিয়োগ$ শ্ৰম$ঔদ্যোগিক সম্পৰ্ক$NULL$NULL$দৰমহা$অন্যান্য","Labour & Employment","Labour","Industrial Relations","Industrial Tribunal, Dibrugarh","NULL","Salaries","Others","Establishmet Expenditure","General Area","Voted",0,0,0,0.02
"3 - Administration of justice","Judicial Department (D)","2230-01-101-0265-000-01-05-EE-GA-V","Labour & Employment$Labour$Industrial Relations$Industrial Tribunal, Dibrugarh$NULL$Salaries$Leave Travel Concession","শ্ৰম আৰু নিয়োগ$ শ্ৰম$ঔদ্যোগিক সম্পৰ্ক$NULL$NULL$দৰমহা$ছুটী কালীন ভ্ৰমণ ৰেহাই","Labour & Employment","Labour","Industrial Relations","Industrial Tribunal, Dibrugarh","NULL","Salaries","Leave Travel Concession","Establishmet Expenditure","General Area","Voted",0,2,2,2
"3 - Administration of justice","Judicial Department (D)","2230-01-101-0265-000-01-06-EE-GA-V","Labour & Employment$Labour$Industrial Relations$Industrial Tribunal, Dibrugarh$NULL$Salaries$Medical Allowance","শ্ৰম আৰু নিয়োগ$ শ্ৰম$ঔদ্যোগিক সম্পৰ্ক$NULL$NULL$দৰমহা$চিকিৎসা ভাত্তা","Labour & Employment","Labour","Industrial Relations","Industrial Tribunal, Dibrugarh","NULL","Salaries","Medical Allowance","Establishmet Expenditure","General Area","Voted",0,1,1,1.1
"3 - Administration of justice","Judicial Department (D)","2230-01-101-0265-000-01-07-EE-GA-V","Labour & Employment$Labour$Industrial Relations$Industrial Tribunal, Dibrugarh$NULL$Salaries$House Rent Allowance","শ্ৰম আৰু নিয়োগ$ শ্ৰম$ঔদ্যোগিক সম্পৰ্ক$NULL$NULL$দৰমহা$ঘৰ ভাড়া ভাত্তা","Labour & Employment","Labour","Industrial Relations","Industrial Tribunal, Dibrugarh","NULL","Salaries","House Rent Allowance","Establishmet Expenditure","General Area","Voted",0,3,3,3.3
"3 - Administration of justice","Judicial Department (D)","2230-01-101-0265-000-01-08-EE-GA-V","Labour & Employment$Labour$Industrial Relations$Industrial Tribunal, Dibrugarh$NULL$Salaries$Medical Reimbursement","শ্ৰম আৰু নিয়োগ$ শ্ৰম$ঔদ্যোগিক সম্পৰ্ক$NULL$NULL$দৰমহা$চিকিৎসাজনিত ব্যয় পৰিশোধ","Labour & Employment","Labour","Industrial Relations","Industrial Tribunal, Dibrugarh","NULL","Salaries","Medical Reimbursement","Establishmet Expenditure","General Area","Voted",0,1.5,1.5,1.6
"3 - Administration of justice","Judicial Department (D)","2230-01-101-0266-000-01-01-EE-GA-V","Labour & Employment$Labour$Industrial Relations$Industrial Tribunal, Cachar$NULL$Salaries$Pay","শ্ৰম আৰু নিয়োগ$ শ্ৰম$ঔদ্যোগিক সম্পৰ্ক$NULL$NULL$দৰমহা$দৰমহা","Labour & Employment","Labour","Industrial Relations","Industrial Tribunal, Cachar","NULL","Salaries","Pay","Establishmet Expenditure","General Area","Voted",43.9,19,19,44
"3 - Administration of justice","Judicial Department (D)","2230-01-101-0266-000-01-05-EE-GA-V","Labour & Employment$Labour$Industrial Relations$Industrial Tribunal, Cachar$NULL$Salaries$Leave Travel Concession","শ্ৰম আৰু নিয়োগ$ শ্ৰম$ঔদ্যোগিক সম্পৰ্ক$NULL$NULL$দৰমহা$ছুটী কালীন ভ্ৰমণ ৰেহাই","Labour & Employment","Labour","Industrial Relations","Industrial Tribunal, Cachar","NULL","Salaries","Leave Travel Concession","Establishmet Expenditure","General Area","Voted",0,0.5,0.5,0.5
"3 - Administration of justice","Judicial Department (D)","2230-01-101-0266-000-01-06-EE-GA-V","Labour & Employment$Labour$Industrial Relations$Industrial Tribunal, Cachar$NULL$Salaries$Medical Allowance","শ্ৰম আৰু নিয়োগ$ শ্ৰম$ঔদ্যোগিক সম্পৰ্ক$NULL$NULL$দৰমহা$চিকিৎসা ভাত্তা","Labour & Employment","Labour","Industrial Relations","Industrial Tribunal, Cachar","NULL","Salaries","Medical Allowance","Establishmet Expenditure","General Area","Voted",0,1,1,1.1
"3 - Administration of justice","Judicial Department (D)","2230-01-101-0266-000-01-07-EE-GA-V","Labour & Employment$Labour$Industrial Relations$Industrial Tribunal, Cachar$NULL$Salaries$House Rent Allowance","শ্ৰম আৰু নিয়োগ$ শ্ৰম$ঔদ্যোগিক সম্পৰ্ক$NULL$NULL$দৰমহা$ঘৰ ভাড়া ভাত্তা","Labour & Employment","Labour","Industrial Relations","Industrial Tribunal, Cachar","NULL","Salaries","House Rent Allowance","Establishmet Expenditure","General Area","Voted",0,2,2,2.2
"3 - Administration of justice","Judicial Department (D)","2230-01-101-0266-000-01-08-EE-GA-V","Labour & Employment$Labour$Industrial Relations$Industrial Tribunal, Cachar$NULL$Salaries$Medical Reimbursement","শ্ৰম আৰু নিয়োগ$ শ্ৰম$ঔদ্যোগিক সম্পৰ্ক$NULL$NULL$দৰমহা$চিকিৎসাজনিত ব্যয় পৰিশোধ","Labour & Employment","Labour","Industrial Relations","Industrial Tribunal, Cachar","NULL","Salaries","Medical Reimbursement","Establishmet Expenditure","General Area","Voted",0,1,1,1.1
"3 - Administration of justice","Judicial Department (D)","2230-01-101-0899-000-01-01-EE-GA-V","Labour & Employment$Labour$Industrial Relations$Labour Court, Guwahati$NULL$Salaries$Pay","শ্ৰম আৰু নিয়োগ$ শ্ৰম$ঔদ্যোগিক সম্পৰ্ক$NULL$NULL$দৰমহা$দৰমহা","Labour & Employment","Labour","Industrial Relations","Labour Court, Guwahati","NULL","Salaries","Pay","Establishmet Expenditure","General Area","Voted",56.22,45,45,65
"3 - Administration of justice","Judicial Department (D)","2230-01-101-0899-000-01-06-EE-GA-V","Labour & Employment$Labour$Industrial Relations$Labour Court, Guwahati$NULL$Salaries$Medical Allowance","শ্ৰম আৰু নিয়োগ$ শ্ৰম$ঔদ্যোগিক সম্পৰ্ক$NULL$NULL$দৰমহা$চিকিৎসা ভাত্তা","Labour & Employment","Labour","Industrial Relations","Labour Court, Guwahati","NULL","Salaries","Medical Allowance","Establishmet Expenditure","General Area","Voted",0,2.5,2.5,2.5
"3 - Administration of justice","Judicial Department (D)","2230-01-101-0899-000-01-07-EE-GA-V","Labour & Employment$Labour$Industrial Relations$Labour Court, Guwahati$NULL$Salaries$House Rent Allowance","শ্ৰম আৰু নিয়োগ$ শ্ৰম$ঔদ্যোগিক সম্পৰ্ক$NULL$NULL$দৰমহা$ঘৰ ভাড়া ভাত্তা","Labour & Employment","Labour","Industrial Relations","Labour Court, Guwahati","NULL","Salaries","House Rent Allowance","Establishmet Expenditure","General Area","Voted",0,6.5,6.5,7
"3 - Administration of justice","Judicial Department (D)","2230-01-101-0899-000-01-12-EE-GA-V","Labour & Employment$Labour$Industrial Relations$Labour Court, Guwahati$NULL$Salaries$Arrear Salary/DA","শ্ৰম আৰু নিয়োগ$ শ্ৰম$ঔদ্যোগিক সম্পৰ্ক$NULL$NULL$দৰমহা$বকেয়া দৰমহা /মৰগীয়া বানচ","Labour & Employment","Labour","Industrial Relations","Labour Court, Guwahati","NULL","Salaries","Arrear Salary/DA","Establishmet Expenditure","General Area","Voted",0,0.01,0.01,0
"3 - Administration of justice","Judicial Department (D)","2230-01-101-0929-000-01-01-EE-GA-V","Labour & Employment$Labour$Industrial Relations$Labour Court, Dibrugarh$NULL$Salaries$Pay","শ্ৰম আৰু নিয়োগ$ শ্ৰম$ঔদ্যোগিক সম্পৰ্ক$NULL$NULL$দৰমহা$দৰমহা","Labour & Employment","Labour","Industrial Relations","Labour Court, Dibrugarh","NULL","Salaries","Pay","Establishmet Expenditure","General Area","Voted",36.74,25.5,25.5,56
"3 - Administration of justice","Judicial Department (D)","2230-01-101-0929-000-01-05-EE-GA-V","Labour & Employment$Labour$Industrial Relations$Labour Court, Dibrugarh$NULL$Salaries$Leave Travel Concession","শ্ৰম আৰু নিয়োগ$ শ্ৰম$ঔদ্যোগিক সম্পৰ্ক$NULL$NULL$দৰমহা$ছুটী কালীন ভ্ৰমণ ৰেহাই","Labour & Employment","Labour","Industrial Relations","Labour Court, Dibrugarh","NULL","Salaries","Leave Travel Concession","Establishmet Expenditure","General Area","Voted",0,0.9,0.9,0.9
"3 - Administration of justice","Judicial Department (D)","2230-01-101-0929-000-01-06-EE-GA-V","Labour & Employment$Labour$Industrial Relations$Labour Court, Dibrugarh$NULL$Salaries$Medical Allowance","শ্ৰম আৰু নিয়োগ$ শ্ৰম$ঔদ্যোগিক সম্পৰ্ক$NULL$NULL$দৰমহা$চিকিৎসা ভাত্তা","Labour & Employment","Labour","Industrial Relations","Labour Court, Dibrugarh","NULL","Salaries","Medical Allowance","Establishmet Expenditure","General Area","Voted",0,2.1,2.1,2.15
"3 - Administration of justice","Judicial Department (D)","2230-01-101-0929-000-01-07-EE-GA-V","Labour & Employment$Labour$Industrial Relations$Labour Court, Dibrugarh$NULL$Salaries$House Rent Allowance","শ্ৰম আৰু নিয়োগ$ শ্ৰম$ঔদ্যোগিক সম্পৰ্ক$NULL$NULL$দৰমহা$ঘৰ ভাড়া ভাত্তা","Labour & Employment","Labour","Industrial Relations","Labour Court, Dibrugarh","NULL","Salaries","House Rent Allowance","Establishmet Expenditure","General Area","Voted",0,3.25,3.25,3.4
"3 - Administration of justice","Judicial Department (D)","2230-01-101-0929-000-01-08-EE-GA-V","Labour & Employment$Labour$Industrial Relations$Labour Court, Dibrugarh$NULL$Salaries$Medical Reimbursement","শ্ৰম আৰু নিয়োগ$ শ্ৰম$ঔদ্যোগিক সম্পৰ্ক$NULL$NULL$দৰমহা$চিকিৎসাজনিত ব্যয় পৰিশোধ","Labour & Employment","Labour","Industrial Relations","Labour Court, Dibrugarh","NULL","Salaries","Medical Reimbursement","Establishmet Expenditure","General Area","Voted",0,1,1,1.1
"3 - Administration of justice","Judicial Department (D)","2014-00-114-0168-000-01-01-EE-KN-V","Administration of Justice$NULL$Legal Advisers and Counsels$Government Pleader$NULL$Salaries$Pay","ন্যায় প্ৰশাসন$NULL$আাইন উপদেষ্টা আাৰু পৰামৰ্শ দাতা$NULL$NULL$দৰমহা$দৰমহা","Administration of Justice","NULL","Legal Advisers and Counsels","Government Pleader","NULL","Salaries","Pay","Establishmet Expenditure","Karbi Anglong Non-entrusted","Voted",0.64,5.6,5.6,12
"3 - Administration of justice","Judicial Department (D)","2014-00-114-0168-000-01-02-EE-KN-V","Administration of Justice$NULL$Legal Advisers and Counsels$Government Pleader$NULL$Salaries$Dearness Allowance","ন্যায় প্ৰশাসন$NULL$আাইন উপদেষ্টা আাৰু পৰামৰ্শ দাতা$NULL$NULL$দৰমহা$মৰগীয়া বানচ","Administration of Justice","NULL","Legal Advisers and Counsels","Government Pleader","NULL","Salaries","Dearness Allowance","Establishmet Expenditure","Karbi Anglong Non-entrusted","Voted",0,7,7,1.5
"3 - Administration of justice","Judicial Department (D)","2014-00-114-0168-000-01-05-EE-KN-V","Administration of Justice$NULL$Legal Advisers and Counsels$Government Pleader$NULL$Salaries$Leave Travel Concession","ন্যায় প্ৰশাসন$NULL$আাইন উপদেষ্টা আাৰু পৰামৰ্শ দাতা$NULL$NULL$দৰমহা$ছুটী কালীন ভ্ৰমণ ৰেহাই","Administration of Justice","NULL","Legal Advisers and Counsels","Government Pleader","NULL","Salaries","Leave Travel Concession","Establishmet Expenditure","Karbi Anglong Non-entrusted","Voted",0,0.25,0.25,0.2
"3 - Administration of justice","Judicial Department (D)","2014-00-114-0168-000-01-06-EE-KN-V","Administration of Justice$NULL$Legal Advisers and Counsels$Government Pleader$NULL$Salaries$Medical Allowance","ন্যায় প্ৰশাসন$NULL$আাইন উপদেষ্টা আাৰু পৰামৰ্শ দাতা$NULL$NULL$দৰমহা$চিকিৎসা ভাত্তা","Administration of Justice","NULL","Legal Advisers and Counsels","Government Pleader","NULL","Salaries","Medical Allowance","Establishmet Expenditure","Karbi Anglong Non-entrusted","Voted",0,0.5,0.5,0.55
